vtmId,dose,unit,vmpId
9723911000001106,10,mg,320775009
9723911000001106,25,mg,320776005
13314711000001103,1,mg,321412006
13314711000001103,5,mg,321413001
13314711000001103,5,mg,321414007
13868511000001100,25,mg,322157007
13294101000001109,5,mg,325560001
13297701000001102,50,mg,329249000
230581000001104,10,mg,329251001
230581000001104,20,mg,329252008
230581000001104,50,mg,329253003
9871311000001105,50,mg,329396005
9723911000001106,20,mg,348476002
87881000,50,mg,374506002
87881000,50,mg,374506002
16599711000001108,25,mg,375534004
7336002,50,mg,376689003
7336002,50,mg,376689003
77390008,1,mg,376816002
77390008,1,mg,376816002
19225000,5,mg,377147002
19225000,5,mg,377147002
36408311000001108,40,mg,408024009
36408311000001108,10,mg,408036003
36408311000001108,20,mg,408037007
36408311000001108,5,mg,409108001
108537001,5,mg,429828006
108537001,5,mg,429828006
108418007,4,mg,116381000001102
108418007,8,mg,116391000001100
13294501000001104,20,mg,3439011000001103
10568711000001105,1,mg,3508711000001106
71516007,25,mg,3630011000001108
319442006,40,mg,3678211000001103
129484001,1,mg,3909211000001103
12236006,10,g,4018611000001100
108666007,15,mg,4053411000001103
108666007,30,mg,4053511000001104
326066005,25,microgram,4195611000001103
326066005,50,microgram,4195711000001107
63136007,1,mg,4245511000001109
230581000001104,10,mg,4245611000001108
398674007,5,mg,4246511000001102
412130008,30,mg,4252911000001107
329507006,15,mg,4262811000001107
329260009,50,mg,4289111000001107
420711005,50,mg,4289211000001101
420711005,30,mg,4349911000001107
36408211000001100,5,mg,4367711000001105
12236006,22,g,4378011000001104
36408011000001105,20,mg,4556311000001104
349912006,5,mg,4558111000001102
91107009,50,mg,4559211000001103
46009007,5,mg,4651711000001101
321603004,12,mg,4748211000001109
321603004,16,mg,4748311000001101
321603004,20,mg,4748411000001108
321603004,4,mg,4748511000001107
544002,5,mg,4843711000001105
30125007,12,mg,5000211000001106
30125007,15,mg,5000311000001103
108430001,45,mg,5627911000001100
109033004,30,mg,7503511000001104
412130008,10,mg,7595811000001100
412130008,90,mg,7642111000001102
9902111000001102,3,mg,7719211000001103
422528000,5,mg,7719811000001102
50868004,15,mg,7719911000001107
13298001000001103,1,mg,7720211000001104
116523008,10,mg,7720711000001106
116523008,1,mg,7720811000001103
350057002,50,microgram,7721411000001109
420672000,50,mg,7721611000001107
420444000,50,mg,7721711000001103
46123006,1,g,7722211000001103
116523008,5,mg,7821111000001102
116523008,20,mg,7821211000001108
116523008,3,mg,7821311000001100
116523008,3,mg,7821411000001107
13295901000001106,50,mg,7822611000001104
421381007,22,mg,7875311000001104
116523008,1,mg,7875811000001108
116523008,5,mg,7875911000001103
418834008,1,g,7876111000001107
423272009,50,mg,7876211000001101
116523008,3,mg,7877711000001106
30010009,1,mg,7902511000001100
10043411000001102,5,g,7904211000001107
46123006,60,mg,7968911000001109
407033009,20,mg,8013111000001100
407033009,40,mg,8013211000001106
116523008,2,mg,8025411000001104
317849003,20,mg,8029611000001103
420581003,38,mg,8098411000001103
54765002,12,mg,8528911000001104
111165009,10,mg,8791311000001100
111165009,30,mg,8791411000001107
111165009,5,mg,8791511000001106
29439004,2,mg,8791811000001109
29439004,4,mg,8791911000001104
96236000,5,mg,8792211000001101
111150008,5,mg,8792411000001102
26574002,1,mg,8793511000001105
15432003,2,microgram,8794111000001104
89192008,50,microgram,8794211000001105
419521006,10,mg,8795811000001107
1039008,10,mg,8796611000001103
108430001,2,mg,8797211000001103
108430001,4,mg,8797411000001104
10071011000001106,10,microgram,8797611000001101
6625006,50,mg,8799111000001103
329199009,20,mg,8799511000001107
70379000,1,g,8799911000001100
57376006,1,g,8800111000001108
47120002,50,mg,8800311000001105
80127003,50,mg,8800511000001104
421626005,25,mg,8800611000001100
325325006,5,mg,8802011000001106
10071011000001106,15,microgram,8816711000001105
87617007,5,mg,8822911000001103
412267009,36,mg,9186811000001107
34816007,1,g,9261911000001107
323377002,16,mg,9305811000001107
323377002,24,mg,9305911000001102
323377002,8,mg,9306011000001105
407730002,18,microgram,9478911000001107
108792008,20,mg,9526911000001101
108792008,30,mg,9527011000001102
89029005,6,mg,9536311000001104
421692002,5,mg,9831411000001101
421692002,5,mg,9831511000001102
398971002,15,mg,9864811000001108
36411211000001107,1,g,10064111000001100
7947003,75,mg,10064711000001104
10043411000001102,1,g,10141011000001102
404878004,25,mg,10193111000001107
404878004,50,mg,10193511000001103
329507006,25,mg,10221311000001100
356862006,20,mg,10225911000001102
72181000001101,20,mg,10424311000001103
13813003,5,mg,10447211000001101
13296001000001102,50,mg,10475011000001103
58905004,25,mg,10597211000001100
422589005,20,mg,10608011000001102
421592007,30,mg,10655911000001104
10820011000001102,50,mg,10819611000001105
10043811000001100,5,g,10893511000001108
329260009,40,mg,11034611000001105
108461005,12,mg,11388511000001105
400526000,10,mg,11395011000001109
29439004,5,mg,11490011000001105
13298001000001103,2,mg,11490211000001100
116523008,2,mg,11490311000001108
87617007,3,mg,11490411000001101
34816007,5,g,11550011000001108
46123006,1,g,11611611000001107
109129008,1,mg,11649511000001103
109129008,5,mg,11649711000001108
15432003,2,microgram,11738011000001105
421737001,15,mg,11762911000001102
421737001,25,mg,11763011000001105
425483000,3,mg,11763211000001100
425483000,6,mg,11763311000001108
425483000,9,mg,11763411000001101
46123006,1,g,11787211000001107
1389007,5,mg,11880411000001105
108507005,50,mg,12037411000001103
51758009,30,mg,12299811000001105
51758009,50,mg,12300211000001106
54544005,50,mg,12303411000001102
51758009,10,mg,12389411000001104
51758009,30,mg,12389811000001102
51758009,40,mg,12389911000001107
73572009,30,mg,12390311000001101
73572009,60,mg,12390411000001108
51073002,10,mg,12425011000001109
51073002,25,mg,12425111000001105
51073002,50,mg,12425411000001100
51073002,60,mg,12425511000001101
42444000,25,mg,12425811000001103
86977007,2,g,12777411000001104
12867711000001101,5,mg,12867411000001107
386142008,45,mg,13113111000001105
386142008,30,mg,13113211000001104
395292007,30,mg,13132911000001109
428807006,50,mg,13412911000001100
50868004,10,mg,13453711000001104
50868004,5,mg,13453811000001107
22209111000001100,10,mg,13454111000001103
22209111000001100,5,mg,13454211000001109
22209111000001100,5,mg,13454411000001108
96370002,10,mg,13466511000001107
96370002,2,mg,13466611000001106
13568411000001103,75,mg,13532911000001104
108952000,50,mg,13573711000001106
108473005,2,mg,13639711000001102
108473005,4,mg,13639811000001105
108473005,8,mg,13639911000001100
54765002,50,mg,13859511000001102
406457005,20,mg,13939111000001104
2571007,25,mg,13961411000001100
398718007,50,mg,13962611000001108
56602009,1,g,13967911000001100
108556006,4,mg,14013011000001104
350358003,5,microgram,14014611000001109
108443001,50,mg,14042811000001105
